mock,target_id,z_qso,truth_z,truth_log_nhi,nhi_regime,prod_map,prod_bias,eb_naive_tau,eb_naive_map,eb_naive_bias,eb_mask_tau,eb_mask_map,eb_mask_bias
2lpt,270139787,3.211794137954712,3.1389663294559798,20.611190601967447,DLA,20.850,+0.239,2.00,20.700,+0.089,2.00,20.600,-0.011
2lpt,160089646,2.2717020511627197,1.9620739124260766,20.741715131713637,DLA,20.400,-0.342,2.00,20.350,-0.392,2.00,20.300,-0.442
2lpt,300114645,2.096673011779785,2.0379174253225587,20.648669428383787,DLA,21.225,+0.576,2.00,21.125,+0.476,2.00,20.975,+0.326
2lpt,270205003,2.3934645652770996,2.019672603071773,20.969170538723326,DLA,22.000,+1.031,2.00,22.000,+1.031,2.00,22.000,+1.031
2lpt,390005802,2.632460832595825,2.360108022655392,21.123639846782144,DLA,21.300,+0.176,2.00,21.275,+0.151,2.00,21.325,+0.201
2lpt,210171399,2.322422742843628,2.094371015276949,21.149040010653472,DLA,21.250,+0.101,2.00,21.200,+0.051,2.00,21.075,-0.074
2lpt,310028807,2.744382858276367,2.3848866592461784,17.990225705619174,LLS,20.300,+2.310,2.00,20.300,+2.310,1.50,20.300,+2.310
2lpt,50098191,2.5892648696899414,2.505263439949326,17.731056325623342,LLS,20.300,+2.569,2.00,20.300,+2.569,2.00,20.300,+2.569
2lpt,180079775,3.024535655975342,2.5306080356991285,17.51578654109279,LLS,20.300,+2.784,1.00,20.300,+2.784,1.00,20.300,+2.784
2lpt,180191067,1.9899132251739502,1.9218379557629743,18.147645359467674,LLS,22.000,+3.852,2.00,22.000,+3.852,2.00,21.975,+3.827
2lpt,60063250,2.0990207195281982,2.029737438969318,17.708567156928513,LLS,20.300,+2.591,2.00,20.300,+2.591,2.00,20.300,+2.591
2lpt,250058672,2.4837324619293213,2.4090068066586676,17.972360321819004,LLS,20.300,+2.328,2.00,20.300,+2.328,2.00,20.300,+2.328
2lpt,60104582,2.4194257259368896,2.1162248588474895,20.048430399855658,sub-DLA,20.300,+0.252,2.00,20.300,+0.252,1.25,20.300,+0.252
2lpt,220242455,3.2398734092712402,2.8172516104410446,20.16517395329817,sub-DLA,20.300,+0.135,1.25,20.300,+0.135,2.00,20.300,+0.135
2lpt,140009771,2.369447708129883,2.042618132889867,19.903234640090847,sub-DLA,20.300,+0.397,2.00,20.300,+0.397,2.00,20.300,+0.397
2lpt,260229494,2.0896852016448975,1.9818963836096861,19.75466787802935,sub-DLA,20.300,+0.545,2.00,20.300,+0.545,2.00,20.300,+0.545
2lpt,192804,2.47658371925354,2.107354823290496,20.04874600433038,sub-DLA,20.300,+0.251,1.50,20.300,+0.251,1.50,20.300,+0.251
2lpt,250124140,2.1659507751464844,1.951515947779149,19.24097027899516,sub-DLA,20.300,+1.059,2.00,20.300,+1.059,2.00,20.300,+1.059
london,160331820,2.2995128631591797,1.9035918550517898,20.59827668034827,DLA,22.000,+1.402,2.00,22.000,+1.402,2.00,21.525,+0.927
london,100302972,2.5971007347106934,2.217525314737226,20.931687016935413,DLA,21.000,+0.068,2.00,20.950,+0.018,2.00,20.850,-0.082
london,180258638,2.9588334560394287,2.807971041524131,20.327838800081388,DLA,20.750,+0.422,1.50,20.700,+0.372,1.50,20.600,+0.272
london,260234757,2.6821959018707275,2.275563624138884,21.277647858938334,DLA,21.100,-0.178,1.50,21.075,-0.203,1.50,20.975,-0.303
london,10099135,2.4143636226654053,2.041589457481617,20.825239874849554,DLA,21.575,+0.750,2.00,21.550,+0.725,2.00,21.275,+0.450
london,140016836,2.2701051235198975,2.068706131830502,20.961002961801356,DLA,22.000,+1.039,2.00,21.225,+0.264,2.00,20.300,-0.661
london,300129426,2.2670469284057617,1.884214508171088,17.593447518372702,LLS,20.300,+2.707,0.75,20.300,+2.707,2.00,20.300,+2.707
london,300040975,2.118511199951172,2.0302763081364468,17.496025311233993,LLS,20.300,+2.804,1.50,20.300,+2.804,1.25,20.300,+2.804
london,280032522,2.730297088623047,2.3792671462267934,18.09934302115991,LLS,20.300,+2.201,0.50,20.300,+2.201,0.50,20.300,+2.201
london,50248565,2.362046480178833,2.037841627070747,18.833979561305465,LLS,21.450,+2.616,2.00,21.400,+2.566,2.00,21.250,+2.416
london,160310395,2.64335036277771,2.5787717750385886,17.500386486904343,LLS,20.300,+2.800,2.00,20.300,+2.800,2.00,20.300,+2.800
london,120259645,2.0935394763946533,1.9552840546875445,18.6779119276612,LLS,20.300,+1.622,2.00,20.300,+1.622,2.00,20.300,+1.622
london,170307999,2.804905891418457,2.3477923912514926,19.943722942557923,sub-DLA,20.300,+0.356,2.00,20.300,+0.356,2.00,20.300,+0.356
london,250162894,2.185509443283081,2.074650489000071,19.62692244712203,sub-DLA,20.300,+0.673,2.00,20.300,+0.673,2.00,20.300,+0.673
london,50143084,2.902942657470703,2.662024107187509,19.395457203531603,sub-DLA,20.300,+0.905,1.25,20.300,+0.905,2.00,20.300,+0.905
london,110099859,3.394665241241455,3.28597106210538,19.98712960431148,sub-DLA,20.300,+0.313,0.50,20.300,+0.313,1.00,20.300,+0.313
london,270371783,2.5120577812194824,2.1932259034588193,19.735999820710003,sub-DLA,20.300,+0.564,2.00,20.300,+0.564,2.00,20.300,+0.564
london,310258592,2.0634658336639404,1.8579350231581484,19.05821269006891,sub-DLA,22.000,+2.942,2.00,22.000,+2.942,2.00,22.000,+2.942
saclay,1377001320,2.802656412124634,2.4871413707733154,20.8847713470459,DLA,21.125,+0.240,2.00,21.050,+0.165,2.00,20.900,+0.015
saclay,6388000890,2.458176851272583,2.0780794620513916,21.650936126708984,DLA,21.875,+0.224,2.00,21.850,+0.199,2.00,21.600,-0.051
saclay,2103000740,2.3491203784942627,2.2933688163757324,20.565332412719727,DLA,21.375,+0.810,0.50,21.425,+0.860,0.50,21.275,+0.710
saclay,4219000571,3.3335819244384766,2.932858467102051,20.599903106689453,DLA,20.750,+0.150,0.50,20.800,+0.200,1.00,20.675,+0.075
saclay,6397000973,2.588884115219116,2.2728707790374756,20.718374252319336,DLA,20.725,+0.007,2.00,20.650,-0.068,2.00,20.375,-0.343
saclay,2092000495,2.192859649658203,1.874175786972046,20.956710815429688,DLA,22.000,+1.043,2.00,22.000,+1.043,2.00,22.000,+1.043
saclay,7151001034,2.3525800704956055,2.251490831375122,18.003000259399414,LLS,20.975,+2.972,1.50,20.825,+2.822,1.00,20.725,+2.722
saclay,1257000829,2.1304924488067627,1.9879090785980225,17.464370727539062,LLS,20.300,+2.836,2.00,20.300,+2.836,2.00,20.300,+2.836
saclay,1253001111,2.5839476585388184,2.1621408462524414,18.35917091369629,LLS,20.300,+1.941,2.00,20.300,+1.941,2.00,20.300,+1.941
saclay,6408000684,2.205018997192383,1.9539686441421509,18.509387969970703,LLS,20.300,+1.791,2.00,20.300,+1.791,2.00,20.300,+1.791
saclay,1249001025,2.5520808696746826,2.3045084476470947,18.61661148071289,LLS,20.300,+1.683,2.00,20.300,+1.683,2.00,20.300,+1.683
saclay,6195000217,2.0893304347991943,1.9136953353881836,17.602197647094727,LLS,22.000,+4.398,2.00,21.775,+4.173,2.00,20.300,+2.698
saclay,3259001164,2.872323513031006,2.8058736324310303,19.07186508178711,sub-DLA,20.300,+1.228,2.00,20.300,+1.228,2.00,20.300,+1.228
saclay,3082000278,2.2691357135772705,1.8901292085647583,19.326080322265625,sub-DLA,22.000,+2.674,2.00,22.000,+2.674,1.25,21.925,+2.599
saclay,7330000306,2.2389187812805176,1.8770173788070679,19.69322395324707,sub-DLA,21.500,+1.807,2.00,20.300,+0.607,2.00,20.300,+0.607
saclay,2100000725,2.300879955291748,2.1937596797943115,19.054899215698242,sub-DLA,20.300,+1.245,2.00,20.300,+1.245,2.00,20.300,+1.245
saclay,7365000393,2.8083701133728027,2.723600387573242,19.75258445739746,sub-DLA,20.300,+0.547,1.50,20.300,+0.547,2.00,20.300,+0.547
saclay,6415000540,2.137477397918701,2.0311696529388428,20.136676788330078,sub-DLA,20.300,+0.163,1.00,20.300,+0.163,1.00,20.300,+0.163
